
  par_i=2, N_i=85, qfix=-3.8988565348607827
  par_i=2, N_i=84, qfix=-3.9169907513019955
  par_i=2, N_i=83, qfix=-3.9351249677432083
  par_i=2, N_i=82, qfix=-3.9532591841844216
  par_i=2, N_i=81, qfix=-3.9713934006256344
  par_i=2, N_i=80, qfix=-3.989527617066847
  par_i=2, N_i=79, qfix=-4.0076618335080605
  par_i=2, N_i=78, qfix=-4.025796049949273
  par_i=2, N_i=77, qfix=-4.043930266390486
  par_i=2, N_i=76, qfix=-4.062064482831699
  par_i=2, N_i=75, qfix=-4.080198699272912
  par_i=2, N_i=74, qfix=-4.098332915714125
  par_i=2, N_i=73, qfix=-4.116467132155337
  par_i=2, N_i=72, qfix=-4.134601348596551
  par_i=2, N_i=71, qfix=-4.152735565037764
  par_i=2, N_i=70, qfix=-4.170869781478977
  par_i=2, N_i=69, qfix=-4.18900399792019
  par_i=2, N_i=68, qfix=-4.207138214361403
  par_i=2, N_i=67, qfix=-4.225272430802615
  par_i=2, N_i=66, qfix=-4.2434066472438285
  par_i=2, N_i=65, qfix=-4.261540863685042
  par_i=2, N_i=64, qfix=-4.279675080126254
  par_i=2, N_i=63, qfix=-4.2978092965674675
  par_i=2, N_i=62, qfix=-4.31594351300868
  par_i=2, N_i=61, qfix=-4.334077729449893
  par_i=2, N_i=60, qfix=-4.352211945891106
  par_i=2, N_i=59, qfix=-4.37034616233232
  par_i=2, N_i=58, qfix=-4.388480378773532
  par_i=2, N_i=57, qfix=-4.406614595214745
  par_i=2, N_i=56, qfix=-4.424748811655958
  par_i=2, N_i=55, qfix=-4.442883028097171
  par_i=2, N_i=54, qfix=-4.461017244538384
  par_i=2, N_i=53, qfix=-4.479151460979597
  par_i=2, N_i=52, qfix=-4.49728567742081
  par_i=2, N_i=51, qfix=-4.515419893862022
  par_i=2, N_i=50, qfix=-4.5335541103032355
  par_i=2, N_i=49, qfix=-4.551688326744449
  par_i=2, N_i=48, qfix=-4.569822543185662
  par_i=2, N_i=47, qfix=-4.587956759626874
  par_i=2, N_i=46, qfix=-4.606090976068088
  par_i=2, N_i=45, qfix=-4.6242251925093
  par_i=2, N_i=44, qfix=-4.642359408950513
  par_i=2, N_i=43, qfix=-4.660493625391727
  par_i=2, N_i=42, qfix=-4.678627841832939
  par_i=2, N_i=41, qfix=-4.696762058274152
  par_i=2, N_i=40, qfix=-4.714896274715365
  par_i=2, N_i=39, qfix=-4.733030491156578
  par_i=2, N_i=38, qfix=-4.751164707597791
  par_i=2, N_i=37, qfix=-4.7692989240390045
  par_i=2, N_i=36, qfix=-4.787433140480217
  par_i=2, N_i=35, qfix=-4.80556735692143
  par_i=2, N_i=34, qfix=-4.8237015733626425
  par_i=2, N_i=33, qfix=-4.841835789803856
  par_i=2, N_i=32, qfix=-4.859970006245069
  par_i=2, N_i=31, qfix=-4.878104222686281
  par_i=2, N_i=30, qfix=-4.896238439127495
  par_i=2, N_i=29, qfix=-4.914372655568707
  par_i=2, N_i=28, qfix=-4.93250687200992
  par_i=2, N_i=27, qfix=-4.950641088451134
  par_i=2, N_i=26, qfix=-4.968775304892346
  par_i=2, N_i=25, qfix=-4.986909521333559
  par_i=2, N_i=24, qfix=-5.0050437377747725
